행정구역명,통행량
서울특별시 강남구 도곡2동,80.286
서울특별시 성북구 삼선동,80.181
서울특별시 양천구 목3동,79.333
서울특별시 노원구 중계2·3동,79.019
서울특별시 성동구 옥수동,79.019
서울특별시 강서구 염창동,78.733
서울특별시 관악구 서원동,78.695
서울특별시 강동구 상일동,78.276
서울특별시 은평구 녹번동,77.981
undefined,77.952
서울특별시 용산구 이촌1동,77.905
서울특별시 영등포구 양평1동,77.81
서울특별시 은평구 응암1동,77.676
서울특별시 구로구 고척1동,77.371
서울특별시 강북구 송천동,76.962
서울특별시 중구 필동,76.248
서울특별시 송파구 오금동,76.219
서울특별시 도봉구 창2동,76.171
서울특별시 마포구 아현동,75.324
서울특별시 송파구 석촌동,75.238
서울특별시 동대문구 회기동,74.8
서울특별시 구로구 개봉1동,74.61
서울특별시 노원구 하계1동,74.505
서울특별시 성북구 월곡2동,74.343
서울특별시 강동구 천호3동,74.286
서울특별시 강동구 성내1동,73.771
서울특별시 영등포구 양평2동,73.59
서울특별시 서대문구 북아현동,73.362
undefined,73.133
서울특별시 중랑구 신내1동,72.543
서울특별시 종로구 부암동,72.229
서울특별시 강서구 방화1동,71.571
서울특별시 강동구 명일1동,70.429
서울특별시 강동구 강일동,70.067
서울특별시 동작구 신대방1동,69.743
서울특별시 도봉구 쌍문1동,69.61
서울특별시 은평구 갈현1동,69.267
서울특별시 강동구 둔촌2동,68.838
서울특별시 종로구 청운효자동,68.657
서울특별시 은평구 불광1동,68.657
서울특별시 마포구 용강동,68.629
서울특별시 강남구 수서동,68.314
서울특별시 용산구 이태원1동,67.895
서울특별시 강서구 화곡8동,67.867
서울특별시 강서구 우장산동,67.619
서울특별시 광진구 중곡4동,67.438
서울특별시 서초구 내곡동,67.21
서울특별시 중구 중림동,67.057
서울특별시 광진구 군자동,66.924
서울특별시 서대문구 홍은2동,66.886
서울특별시 중랑구 묵2동,66.771
서울특별시 양천구 신정7동,66.752
서울특별시 동대문구 답십리1동,66.495
서울특별시 종로구 평창동,66.371
서울특별시 관악구 행운동,65.467
서울특별시 영등포구 신길6동,64.933
서울특별시 관악구 은천동,64.667
서울특별시 강서구 화곡6동,64.219
서울특별시 동작구 노량진2동,63.962
서울특별시 용산구 남영동,63.152
서울특별시 동대문구 휘경1동,62.819
서울특별시 종로구 교남동,62.705
서울특별시 서초구 반포2동,62.648
서울특별시 성동구 용답동,62.381
서울특별시 관악구 인헌동,61.981
서울특별시 광진구 구의2동,61.819
서울특별시 서초구 반포3동,61.41
서울특별시 양천구 목2동,61.305
서울특별시 종로구 창신1동,61.219
서울특별시 서초구 방배본동,60.99
서울특별시 강동구 천호1동,60.59
서울특별시 서초구 방배1동,60.438
서울특별시 강북구 미아동,59.724
서울특별시 구로구 구로4동,59.276
서울특별시 마포구 성산1동,59.19
서울특별시 중랑구 중화2동,59.057
서울특별시 중랑구 묵1동,58.819
서울특별시 도봉구 도봉2동,58.362
서울특별시 중랑구 면목본동,58.029
서울특별시 성북구 길음1동,57.562
서울특별시 송파구 장지동,57.248
서울특별시 구로구 수궁동,56.771
서울특별시 성북구 월곡1동,56.352
서울특별시 송파구 삼전동,55.962
서울특별시 용산구 이태원2동,55.952
서울특별시 강북구 인수동,55.581
서울특별시 광진구 자양1동,55.181
서울특별시 송파구 가락2동,55.124
서울특별시 금천구 독산3동,55.114
서울특별시 양천구 목4동,55.105
서울특별시 동작구 상도2동,54.99
서울특별시 영등포구 신길1동,54.895
서울특별시 양천구 신월7동,54.2
서울특별시 중랑구 면목3·8동,54.019
서울특별시 양천구 신월1동,53.886
서울특별시 강서구 화곡3동,53.571
서울특별시 서대문구 홍제1동,52.914
서울특별시 성북구 보문동,52.867
서울특별시 강서구 등촌1동,52.648
서울특별시 강북구 번3동,52.457
서울특별시 마포구 망원2동,52.01
서울특별시 은평구 역촌동,51.79
서울특별시 강서구 화곡본동,51.733
서울특별시 동대문구 답십리2동,51.067
서울특별시 종로구 가회동,50.524
서울특별시 성북구 정릉4동,50.448
서울특별시 강남구 개포4동,49.971
서울특별시 구로구 개봉2동,49.79
서울특별시 마포구 신수동,49.657
서울특별시 성북구 장위1동,49.257
서울특별시 강남구 개포2동,49.21
서울특별시 종로구 삼청동,49.124
서울특별시 중랑구 면목4동,48.79
서울특별시 관악구 성현동,48.514
서울특별시 관악구 미성동,48.457
서울특별시 동대문구 이문2동,48.381
서울특별시 중구 다산동,48.352
서울특별시 성북구 장위2동,48.152
서울특별시 강북구 수유2동,48.124
서울특별시 도봉구 창1동,48.105
